,GENE.SET,ES,NES,P.VALUE
248,GSE8685_IL2_ACT_IL2_STARVED_VS_IL15_ACT_IL2_STARVED_CD4_TCELL_DN,0.324,1.52,0.00919
249,GSE26343_WT_VS_NFAT5_KO_MACROPHAGE_LPS_STIM_UP,-0.324,-1.6,0.0092
250,GSE10240_CTRL_VS_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN,0.303,1.46,0.00922
251,GSE17186_BLOOD_VS_CORD_BLOOD_NAIVE_BCELL_DN,-0.307,-1.52,0.00932
252,GSE19772_HCMV_INFL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_UP,-0.339,-1.52,0.00932
253,GSE2770_TGFB_AND_IL4_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_2H_DN,0.405,1.64,0.00935
254,GSE17721_0.5H_VS_24H_PAM3CSK4_BMDM_DN,0.366,1.59,0.00935
255,GSE46606_DAY1_VS_DAY3_CD40L_IL2_IL5_STIMULATED_IRF4_KO_BCELL_DN,0.323,1.48,0.00936
256,GSE2128_CTRL_VS_MIMETOPE_NEGATIVE_SELECTION_DP_THYMOCYTE_C57BL6_UP,-0.366,-1.59,0.00943
257,GSE21033_1H_VS_12H_POLYIC_STIM_DC_UP,-0.32,-1.52,0.00948
258,GSE3982_DC_VS_EFF_MEMORY_CD4_TCELL_DN,-0.362,-1.64,0.00952
259,GSE2770_IL12_AND_TGFB_ACT_VS_ACT_CD4_TCELL_48H_DN,0.425,1.71,0.00954
260,GSE40225_WT_VS_RIP_B7X_DIABETIC_MOUSE_PANCREATIC_CD8_TCELL_DN,0.403,1.68,0.00954
261,GSE30083_SP2_VS_SP4_THYMOCYTE_UP,-0.31,-1.45,0.00955
262,GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_UP,0.318,1.46,0.00956
263,GSE12845_IGD_POS_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_DN,0.379,1.67,0.00971
264,GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IFNAB_CD8_TCELL_UP,-0.32,-1.51,0.00971
265,GSE40273_GATA1_KO_VS_WT_TREG_UP,0.401,1.65,0.00975
266,GSE24634_NAIVE_CD4_TCELL_VS_DAY5_IL4_CONV_TREG_DN,0.485,1.85,0.0098
267,GSE3039_CD4_TCELL_VS_ALPHABETA_CD8_TCELL_UP,-0.387,-1.6,0.0098
268,GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_IL10_KO_MACROPHAGE_45MIN_UP,-0.315,-1.51,0.00985
269,GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_8H_UP,0.39,1.63,0.0099
270,GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_12H_CD4_TCELL_DN,0.445,1.73,0.01
271,GSE17721_0.5H_VS_12H_PAM3CSK4_BMDM_UP,-0.329,-1.51,0.0101
272,GSE22886_NAIVE_TCELL_VS_DC_UP,-0.556,-1.92,0.0103
273,GSE29949_MICROGLIA_VS_DC_BRAIN_DN,-0.329,-1.49,0.0105
274,GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_UP,-0.349,-1.58,0.0106
275,GSE7460_TREG_VS_TCONV_ACT_WITH_TGFB_DN,-0.411,-1.64,0.0106
276,GSE11864_UNTREATED_VS_CSF1_IFNG_IN_MAC_DN,0.389,1.68,0.0107
277,GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_DN,0.288,1.44,0.0107
278,GSE17974_0H_VS_2H_IN_VITRO_ACT_CD4_TCELL_UP,-0.376,-1.65,0.0107
279,GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_6H_UP,0.377,1.61,0.0108
280,GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IL12_CD8_TCELL_UP,-0.325,-1.54,0.0108
281,GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_UP,-0.448,-1.72,0.0108
282,GSE9239_CTRL_VS_TNF_INHIBITOR_TREATED_DC_UP,-0.34,-1.57,0.0109
283,GSE9650_GP33_VS_GP276_LCMV_SPECIFIC_EXHAUSTED_CD8_TCELL_UP,-0.354,-1.59,0.0109
284,GSE360_CTRL_VS_T_GONDII_DC_UP,-0.401,-1.7,0.0109
285,GSE24634_TEFF_VS_TCONV_DAY5_IN_CULTURE_DN,-0.427,-1.75,0.0109
286,GSE32986_UNSTIM_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_DN,-0.424,-1.77,0.0109
287,GSE21670_STAT3_KO_VS_WT_CD4_TCELL_IL6_TREATED_DN,-0.365,-1.56,0.0111
288,GSE5503_MLN_DC_VS_SPLEEN_DC_ACTIVATED_ALLOGENIC_TCELL_UP,-0.335,-1.58,0.0111
289,GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_DN,-0.409,-1.76,0.0111
290,GSE22919_RESTING_VS_IL2_IL12_IL15_STIM_NK_CELL_UP,0.403,1.7,0.0112
291,GSE7596_AKT_TRANSD_VS_CTRL_CD4_TCONV_WITH_TGFB_DN,-0.355,-1.52,0.0112
292,GSE4811_CLASSSICALY_ACTIVATED_VS_TYPE_2_ACTIVATED_MACROPHAGE_UP,0.327,1.48,0.0113
293,GSE2405_S_AUREUS_VS_A_PHAGOCYTOPHILUM_NEUTROPHIL_UP,-0.416,-1.66,0.0113
294,GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_6H_CD4_TCELL_UP,-0.379,-1.66,0.0114
295,GSE27241_CTRL_VS_DIGOXIN_TREATED_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_DN,-0.41,-1.69,0.0114
296,GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UP,0.4,1.64,0.0115
297,GSE30971_2H_VS_4H_LPS_STIM_MACROPHAGE_WBP7_KO_DN,-0.296,-1.44,0.0115
298,GSE7852_THYMUS_VS_FAT_TREG_UP,0.394,1.63,0.0116
299,GSE3039_NKT_CELL_VS_B1_BCELL_UP,-0.337,-1.54,0.0116
300,GSE6259_DEC205_POS_DC_VS_CD8_TCELL_DN,-0.348,-1.54,0.0116
301,GSE14000_TRANSLATED_RNA_VS_MRNA_4H_LPS_DC_UP,0.461,1.71,0.0117
302,GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_DN,0.411,1.66,0.0117
303,GSE17721_CTRL_VS_LPS_4H_BMDM_UP,0.319,1.51,0.0117
304,GSE3982_MAC_VS_EFF_MEMORY_CD4_TCELL_DN,-0.311,-1.5,0.0117
305,GSE360_CTRL_VS_L_MAJOR_DC_DN,-0.38,-1.63,0.0117
306,GSE39152_SPLEEN_CD103_NEG_VS_BRAIN_CD103_POS_MEMORY_CD8_TCELL_DN,-0.292,-1.39,0.0119
307,GSE24634_TEFF_VS_TCONV_DAY5_IN_CULTURE_UP,0.501,1.79,0.0121
308,GSE25123_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_UP,0.323,1.47,0.0123
309,GSE3720_VD1_VS_VD2_GAMMADELTA_TCELL_UP,0.354,1.55,0.0128
310,GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_24H_ACT_CD4_TCELL_UP,-0.314,-1.48,0.0128
311,GSE3982_MAC_VS_CENT_MEMORY_CD4_TCELL_DN,-0.376,-1.67,0.0129
312,GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_72H_ACT_CD4_TCELL_UP,-0.306,-1.45,0.013
313,GSE22886_TH1_VS_TH2_48H_ACT_UP,-0.316,-1.46,0.013
314,GSE24574_BCL6_LOW_TFH_VS_NAIVE_CD4_TCELL_UP,-0.335,-1.48,0.013
315,GSE15624_3H_VS_6H_HALOFUGINONE_TREATED_CD4_TCELL_UP,-0.361,-1.62,0.013
316,GSE34392_ST2_KO_VS_WT_DAY8_LCMV_EFFECTOR_CD8_TCELL_UP,-0.333,-1.54,0.0131
317,GSE36476_CTRL_VS_TSST_ACT_16H_MEMORY_CD4_TCELL_YOUNG_UP,-0.411,-1.68,0.0131
318,GSE22886_UNSTIM_VS_STIM_MEMORY_TCELL_DN,0.457,1.77,0.0132
319,GSE6269_FLU_VS_STREP_PNEUMO_INF_PBMC_DN,-0.347,-1.51,0.0132
320,GSE360_L_MAJOR_VS_M_TUBERCULOSIS_DC_UP,-0.327,-1.52,0.0132
321,GSE12845_IGD_NEG_BLOOD_VS_NAIVE_TONSIL_BCELL_DN,-0.36,-1.6,0.0132
322,GSE21927_SPLEEN_VS_C26GM_TUMOR_MONOCYTE_BALBC_DN,0.39,1.56,0.0133
323,GSE18893_CTRL_VS_TNF_TREATED_TCONV_24H_UP,0.314,1.5,0.0133
324,GSE28237_FOLLICULAR_VS_EARLY_GC_BCELL_DN,0.396,1.68,0.0134
325,GSE1460_NAIVE_CD4_TCELL_CORD_BLOOD_VS_THYMIC_STROMAL_CELL_DN,0.389,1.59,0.0134
326,GSE36392_TYPE_2_MYELOID_VS_EOSINOPHIL_IL25_TREATED_LUNG_UP,-0.278,-1.43,0.0134
327,KAECH_NAIVE_VS_DAY8_EFF_CD8_TCELL_UP,-0.301,-1.44,0.0134
328,GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_UP,-0.363,-1.58,0.0134
329,GSE36891_UNSTIM_VS_POLYIC_TLR3_STIM_PERITONEAL_MACROPHAGE_UP,-0.44,-1.67,0.0134
330,GSE22886_IGG_IGA_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_DN,0.352,1.58,0.0135
331,GSE37301_LYMPHOID_PRIMED_MPP_VS_RAG2_KO_NK_CELL_DN,-0.284,-1.41,0.0137
332,GSE29164_UNTREATED_VS_CD8_TCELL_TREATED_MELANOMA_DAY7_DN,-0.353,-1.51,0.0137
333,GSE360_L_DONOVANI_VS_B_MALAYI_HIGH_DOSE_DC_DN,-0.327,-1.55,0.0137
334,GSE17721_LPS_VS_POLYIC_24H_BMDM_DN,-0.358,-1.6,0.0137
335,GSE45739_UNSTIM_VS_ACD3_ACD28_STIM_WT_CD4_TCELL_UP,-0.359,-1.6,0.0137
336,GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_UP,-0.325,-1.51,0.0138
337,GSE22886_IGM_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_UP,-0.381,-1.61,0.0138
338,GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_48H_UP,0.374,1.6,0.014
339,GSE13306_RA_VS_UNTREATED_TREG_DN,-0.298,-1.47,0.014
340,GSE17721_LPS_VS_POLYIC_24H_BMDM_UP,0.379,1.59,0.0142
341,GSE11864_UNTREATED_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN,0.346,1.57,0.0143
342,GSE7509_FCGRIIB_VS_TNFA_IL1B_IL6_PGE_STIM_DC_DN,-0.496,-1.84,0.0145
343,GSE30971_WBP7_HET_VS_KO_MACROPHAGE_4H_LPS_STIM_UP,0.437,1.71,0.0146
344,GSE9601_UNTREATED_VS_PI3K_INHIBITOR_TREATED_HCMV_INF_MONOCYTE_DN,0.372,1.55,0.0146
345,GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP,0.309,1.49,0.0146
346,GSE37416_CTRL_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_DN,0.326,1.49,0.0147
347,GSE24142_ADULT_VS_FETAL_DN3_THYMOCYTE_DN,-0.283,-1.38,0.0147
348,GSE1460_DP_THYMOCYTE_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_UP,0.396,1.7,0.015
349,GSE22589_HEALTHY_VS_HIV_AND_SIV_INFECTED_DC_DN,0.36,1.54,0.015
350,GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_IL6_KO_MACROPHAGE_45MIN_DN,-0.309,-1.45,0.015
351,GSE21546_WT_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_DN,-0.403,-1.66,0.015
352,GSE30962_PRIMARY_VS_SECONDARY_CHRONIC_LCMV_INF_CD8_TCELL_UP,0.408,1.71,0.0152
353,GSE3982_EFF_MEMORY_CD4_TCELL_VS_TH1_DN,0.404,1.64,0.0152
354,GSE27859_DC_VS_CD11C_INT_F480_HI_MACROPHAGE_UP,0.376,1.64,0.0152
355,GSE1432_1H_VS_6H_IFNG_MICROGLIA_UP,-0.284,-1.42,0.0152
356,GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_MDC_DN,-0.288,-1.43,0.0152
357,GSE15215_CD2_POS_VS_NEG_PDC_UP,-0.341,-1.53,0.0153
358,GSE3982_DC_VS_CENT_MEMORY_CD4_TCELL_DN,-0.368,-1.64,0.0154
359,GSE39382_IL3_VS_IL3_IL33_TREATED_MAST_CELL_UP,-0.314,-1.51,0.0156
360,GSE360_T_GONDII_VS_B_MALAYI_HIGH_DOSE_DC_DN,-0.358,-1.58,0.0156
361,GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_UP,-0.355,-1.62,0.0156
362,GSE39556_UNTREATED_VS_3H_POLYIC_INJ_MOUSE_CD8A_DC_DN,-0.38,-1.57,0.0158
363,GSE360_DC_VS_MAC_T_GONDII_DN,-0.385,-1.65,0.0158
364,GSE43700_UNTREATED_VS_IL10_TREATED_PBMC_UP,-0.288,-1.41,0.0159
365,GSE11961_UNSTIM_VS_ANTI_IGM_AND_CD40_STIM_6H_FOLLICULAR_BCELL_DN,-0.336,-1.54,0.0159
366,GSE360_L_DONOVANI_VS_B_MALAYI_LOW_DOSE_DC_DN,-0.385,-1.64,0.0159
367,GSE7460_CD8_TCELL_VS_TREG_ACT_UP,-0.349,-1.6,0.016
368,GSE19401_PAM2CSK4_VS_RETINOIC_ACID_STIM_FOLLICULAR_DC_DN,-0.311,-1.45,0.0162
369,GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_2H_CD4_TCELL_DN,0.393,1.64,0.0163
370,GSE19941_UNSTIM_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_UP,-0.344,-1.53,0.0163
371,GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_DN,0.334,1.53,0.0164
372,GSE14386_UNTREATED_VS_IFNA_TREATED_ACT_PBMC_MS_PATIENT_UP,-0.325,-1.48,0.0164
373,GSE24634_NAIVE_CD4_TCELL_VS_DAY10_IL4_CONV_TREG_DN,0.396,1.65,0.0165
374,GSE19888_CTRL_VS_T_CELL_MEMBRANES_ACT_MAST_CELL_UP,0.352,1.56,0.0165
375,GSE9316_IL6_KO_VS_IFNG_KO_INVIVO_EXPANDED_CD4_TCELL_UP,-0.334,-1.54,0.0165
376,GSE31082_DN_VS_CD8_SP_THYMOCYTE_UP,0.382,1.59,0.0166
377,GSE30083_SP2_VS_SP3_THYMOCYTE_DN,-0.315,-1.48,0.0166
378,GSE16450_CTRL_VS_IFNA_6H_STIM_MATURE_NEURON_CELL_LINE_UP,-0.356,-1.6,0.0166
379,GSE27786_CD4_TCELL_VS_ERYTHTROBLAST_UP,0.3,1.47,0.0167
380,GSE20198_IL12_VS_IL12_IL18_TREATED_ACT_CD4_TCELL_UP,0.365,1.59,0.0169
381,GSE23321_EFFECTOR_MEMORY_VS_NAIVE_CD8_TCELL_DN,0.416,1.65,0.017
382,GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP,-0.427,-1.74,0.017
383,GSE4811_CLASSSICALY_ACTIVATED_VS_TYPE_2_ACTIVATED_MACROPHAGE_DN,-0.317,-1.43,0.0171
384,GSE28783_CTRL_ANTI_MIR_VS_UNTREATED_ATHEROSCLEROSIS_MACROPHAGE_DN,-0.341,-1.53,0.0171
385,GSE34006_UNTREATED_VS_A2AR_AGONIST_TREATED_TREG_UP,0.368,1.57,0.0172
386,GSE42088_UNINF_VS_LEISHMANIA_INF_DC_24H_DN,0.34,1.49,0.0172
387,GSE19941_UNSTIM_VS_LPS_AND_IL10_STIM_IL10_KO_NFKBP50_KO_MACROPHAGE_UP,-0.302,-1.41,0.0172
388,GSE40666_STAT1_KO_VS_STAT4_KO_CD8_TCELL_WITH_IFNA_STIM_90MIN_DN,-0.379,-1.64,0.0172
389,GSE3982_MEMORY_CD4_TCELL_VS_TH2_DN,0.461,1.74,0.0173
390,GSE37532_VISCERAL_ADIPOSE_TISSUE_VS_LN_DERIVED_TREG_CD4_TCELL_UP,0.34,1.5,0.0173
391,GSE13522_CTRL_VS_T_CRUZI_Y_STRAIN_INF_SKIN_BALBC_MOUSE_DN,-0.386,-1.57,0.0174
392,GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_12H_IFNA_STIM_UP,-0.412,-1.66,0.0174
393,GSE25123_CTRL_VS_ROSIGLITAZONE_STIM_MACROPHAGE_DN,0.359,1.55,0.0177
394,GSE19941_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_NFKBP50_KO_MACROPHAGE_DN,-0.335,-1.5,0.0177
395,GSE15624_CTRL_VS_6H_HALOFUGINONE_TREATED_CD4_TCELL_UP,-0.323,-1.48,0.0178
396,GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_2H_ACT_CD4_TCELL_DN,-0.386,-1.64,0.0178
397,GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_UP,0.5,1.79,0.0179
398,KAECH_DAY8_EFF_VS_DAY15_EFF_CD8_TCELL_DN,-0.313,-1.48,0.0179
399,GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP,-0.355,-1.55,0.0179
400,GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_UP,0.334,1.52,0.018
401,GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_DN,0.314,1.47,0.018
402,GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_24H_CD4_TCELL_DN,0.492,1.74,0.0182
403,GSE557_WT_VS_I_AB_KO_DC_DN,0.33,1.48,0.0182
404,GSE21379_TFH_VS_NON_TFH_SAP_KO_CD4_TCELL_UP,0.316,1.44,0.0182
405,GSE3982_EOSINOPHIL_VS_TH1_DN,0.418,1.64,0.0184
406,GSE6092_B_BURGDOFERI_VS_B_BURGDORFERI_AND_IFNG_STIM_ENDOTHELIAL_CELL_UP,-0.322,-1.53,0.0184
407,GSE23114_PERITONEAL_CAVITY_B1A_BCELL_VS_SPLEEN_BCELL_DN,0.38,1.63,0.0186
408,GSE40274_SATB1_VS_FOXP3_AND_SATB1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,-0.304,-1.44,0.0187
409,GSE4590_SMALL_VS_LARGE_PRE_BCELL_DN,-0.358,-1.52,0.0189
410,GSE12198_CTRL_VS_HIGH_IL2_STIM_NK_CELL_UP,-0.278,-1.41,0.019
411,GSE28237_EARLY_VS_LATE_GC_BCELL_DN,-0.315,-1.47,0.019
412,GSE3982_MAST_CELL_VS_EFF_MEMORY_CD4_TCELL_DN,-0.386,-1.64,0.019
413,GSE35685_CD34POS_CD38NEG_VS_CD34POS_CD10POS_BONE_MARROW_UP,-0.296,-1.42,0.0191
414,GSE2770_IL4_ACT_VS_ACT_CD4_TCELL_6H_UP,-0.404,-1.66,0.0191
415,GSE22886_NEUTROPHIL_VS_DC_DN,0.42,1.72,0.0193
416,GSE18203_CTRL_VS_INTRATUMORAL_CPG_INJ_MC38_TUMOR_UP,-0.36,-1.56,0.0193
417,GSE3982_MEMORY_CD4_TCELL_VS_TH1_DN,0.459,1.72,0.0194
418,GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_DN,-0.367,-1.59,0.0194
419,GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_UP,-0.475,-1.74,0.0194
420,GSE16266_CTRL_VS_HEATSHOCK_AND_LPS_STIM_MEF_UP,0.385,1.59,0.0195
421,GSE360_CTRL_VS_L_DONOVANI_DC_UP,-0.334,-1.56,0.0195
422,GSE16385_UNTREATED_VS_12H_ROSIGLITAZONE_IFNG_TNF_TREATED_MACROPHAGE_UP,-0.338,-1.56,0.0195
423,GSE27670_CTRL_VS_LMP1_TRANSDUCED_GC_BCELL_DN,-0.341,-1.57,0.0197
424,GSE24492_LYVE_NEG_VS_POS_MACROPHAGE_DN,-0.3,-1.44,0.0198
425,GSE10422_WT_VS_BAFF_TRANSGENIC_LN_BCELL_DN,-0.319,-1.41,0.0201
426,GSE43863_NAIVE_VS_LY6C_INT_CXCR5POS_CD4_EFF_TCELL_D6_LCMV_UP,0.431,1.63,0.0202
427,GSE17721_LPS_VS_GARDIQUIMOD_24H_BMDM_UP,-0.319,-1.5,0.0202
428,GSE22140_HEALTHY_VS_ARTHRITIC_MOUSE_CD4_TCELL_DN,-0.341,-1.54,0.0202
429,GSE23925_LIGHT_ZONE_VS_NAIVE_BCELL_UP,-0.418,-1.66,0.0202
430,GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY3_POST_IMMUNIZATION_UP,-0.328,-1.51,0.0203
431,GSE7509_UNSTIM_VS_TNFA_IL1B_IL6_PGE_STIM_DC_UP,0.344,1.49,0.0204
432,GSE1460_INTRATHYMIC_T_PROGENITOR_VS_DP_THYMOCYTE_DN,-0.378,-1.59,0.0204
433,GSE29949_DC_BRAIN_VS_MONOCYTE_BONE_MARROW_DN,-0.312,-1.47,0.0206
434,GSE41978_KLRG1_HIGH_VS_LOW_EFFECTOR_CD8_TCELL_UP,-0.322,-1.5,0.0206
435,GSE2706_UNSTIM_VS_8H_R848_DC_UP,-0.382,-1.6,0.0206
436,GSE22935_UNSTIM_VS_24H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_DN,-0.356,-1.57,0.0207
437,GSE2770_UNTREATED_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_2H_UP,-0.299,-1.42,0.0208
438,GSE22886_NAIVE_VS_IGM_MEMORY_BCELL_UP,-0.3,-1.43,0.0208
439,GSE25677_R848_VS_MPL_AND_R848_STIM_BCELL_UP,-0.317,-1.42,0.0209
440,GSE3982_MAC_VS_NEUTROPHIL_DN,-0.345,-1.5,0.0212
441,GSE20727_DNFB_ALLERGEN_VS_ROS_INH_AND_DNFB_ALLERGEN_TREATED_DC_UP,-0.331,-1.5,0.0213
442,GSE3982_MEMORY_CD4_TCELL_VS_TH1_UP,-0.358,-1.58,0.0213
443,GSE22935_WT_VS_MYD88_KO_MACROPHAGE_DN,-0.353,-1.55,0.0215
444,GSE360_T_GONDII_VS_B_MALAYI_HIGH_DOSE_MAC_DN,-0.417,-1.7,0.0215
445,GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_12H_UP,0.403,1.68,0.0216
446,GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH1_DN,0.49,1.77,0.0218
447,GSE5589_IL6_KO_VS_IL10_KO_LPS_STIM_MACROPHAGE_180MIN_DN,-0.288,-1.36,0.0218
448,GSE27786_LIN_NEG_VS_CD8_TCELL_UP,0.318,1.48,0.0219
449,GSE6269_HEALTHY_VS_FLU_INF_PBMC_UP,-0.43,-1.67,0.022
450,GSE45365_NK_CELL_VS_BCELL_DN,-0.308,-1.41,0.0221
451,GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_IFNAB_CD8_TCELL_UP,-0.287,-1.39,0.0222
452,GSE36078_WT_VS_IL1R_KO_LUNG_DC_AFTER_AD5_INF_UP,-0.407,-1.66,0.0223
453,GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_DN,0.419,1.69,0.0224
454,GSE39916_B_CELL_SPLEEN_VS_PLASMA_CELL_BONE_MARROW_UP,-0.324,-1.46,0.0224
455,GSE12507_PDC_CELL_LINE_VS_IMMATUE_T_CELL_LINE_UP,0.437,1.64,0.0225
456,GSE411_100MIN_VS_400MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_UP,0.331,1.5,0.0225
457,GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_DN,-0.332,-1.44,0.0225
458,GSE5679_PPARG_LIGAND_ROSIGLITAZONE_VS_RARA_AGONIST_AM580_TREATED_DC_DN,-0.351,-1.55,0.0225
459,GSE19198_1H_VS_24H_IL21_TREATED_TCELL_UP,-0.42,-1.69,0.0225
460,GSE14000_UNSTIM_VS_4H_LPS_DC_TRANSLATED_RNA_UP,0.366,1.59,0.0226
461,GSE17721_POLYIC_VS_CPG_12H_BMDM_DN,0.335,1.49,0.0226
462,GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_UP,-0.413,-1.61,0.0226
463,GSE45739_UNSTIM_VS_ACD3_ACD28_STIM_NRAS_KO_CD4_TCELL_UP,-0.374,-1.63,0.0228
464,GSE3982_MAST_CELL_VS_NEUTROPHIL_DN,-0.359,-1.55,0.023
465,GSE16385_ROSIGLITAZONE_IFNG_TNF_VS_IL4_STIM_MACROPHAGE_UP,-0.377,-1.59,0.023
466,GSE34205_HEALTHY_VS_RSV_INF_INFANT_PBMC_UP,-0.406,-1.65,0.023
467,GSE7509_FCGRIIB_VS_TNFA_IL1B_IL6_PGE_STIM_DC_UP,0.386,1.61,0.0231
468,GSE15930_STIM_VS_STIM_AND_IFNAB_72H_CD8_T_CELL_DN,0.34,1.55,0.0231
469,GSE32533_WT_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_UP,0.353,1.52,0.0231
470,GSE26495_PD1HIGH_VS_PD1LOW_CD8_TCELL_UP,-0.382,-1.62,0.0231
471,GSE17721_PAM3CSK4_VS_GADIQUIMOD_1H_BMDM_UP,-0.343,-1.52,0.0232
472,GSE37534_PIOGLITAZONE_VS_ROSIGLITAZONE_TREATED_CD4_TCELL_PPARG1_FOXP3_TRANSDUCED_UP,0.315,1.44,0.0233
473,GSE17721_POLYIC_VS_GARDIQUIMOD_24H_BMDM_UP,-0.294,-1.42,0.0233
474,GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_OLD_UP,-0.364,-1.5,0.0233
475,GSE22589_HEALTHY_VS_HIV_INFECTED_DC_UP,0.352,1.55,0.0234
476,GSE17301_CTRL_VS_48H_ACD3_ACD28_STIM_CD8_TCELL_UP,-0.325,-1.48,0.0234
477,GSE17974_0H_VS_6H_IN_VITRO_ACT_CD4_TCELL_DN,0.408,1.6,0.0235
478,GSE22611_UNSTIM_VS_6H_MDP_STIM_MUTANT_NOD2_TRANSDUCED_HEK293T_CELL_DN,-0.299,-1.45,0.0236
479,GSE45365_WT_VS_IFNAR_KO_CD11B_DC_DN,0.39,1.56,0.0238
480,GSE3039_ALPHABETA_CD8_TCELL_VS_B2_BCELL_DN,0.314,1.45,0.0238
481,GSE27786_CD4_TCELL_VS_MONO_MAC_UP,0.323,1.5,0.0239
482,GSE6092_IFNG_VS_IFNG_AND_B_BURGDORFERI_INF_ENDOTHELIAL_CELL_UP,-0.365,-1.59,0.0239
483,GSE27786_LIN_NEG_VS_NKCELL_DN,-0.288,-1.41,0.0241
484,GSE14413_UNSTIM_VS_IFNB_STIM_NIH3T3_CELLS_DN,0.389,1.57,0.0244
485,GSE25502_WT_VS_KLF13_KO_THYMIC_MEMORY_LIKE_CD8_TCELL_DN,-0.316,-1.41,0.0245
486,GSE7460_CTRL_VS_TGFB_TREATED_ACT_TREG_UP,0.414,1.66,0.0246
487,GSE37534_UNTREATED_VS_ROSIGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_UP,-0.296,-1.4,0.0247
488,GSE12845_IGD_POS_BLOOD_VS_NAIVE_TONSIL_BCELL_UP,-0.297,-1.43,0.0247
489,GSE43955_1H_VS_10H_ACT_CD4_TCELL_WITH_TGFB_IL6_UP,-0.314,-1.45,0.0247
